Date,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of Countries
6/16/20,8183744,444294,3955205,3784245,141900,5.43,48.33,11.23,188
6/17/20,8326301,449396,4073992,3802913,142557,5.4,48.93,11.03,188
6/18/20,8466697,454386,4155134,3857177,140396,5.37,49.08,10.94,188
6/19/20,8646596,460545,4250149,3935902,180047,5.33,49.15,10.84,188
6/2/20,6401952,382296,2796228,3223428,0,5.97,43.68,13.67,188
6/20/20,8803922,464746,4365974,3973202,2401970,5.28,49.59,10.64,188
6/21/20,8932267,468747,4434711,4028809,128345,5.25,49.65,10.57,188
6/22/20,9070200,472311,4526337,4071552,137933,5.21,49.9,10.43,188
6/23/20,9235569,477538,4630412,4127619,165369,5.17,50.14,10.31,188
6/24/20,9406545,482712,4746172,4177661,170976,5.13,50.46,10.17,188
6/25/20,9584905,487411,4839028,4258466,178360,5.09,50.49,10.07,188
6/26/20,9776335,492109,4945742,4338484,191430,5.03,50.59,9.95,188
6/27/20,9954911,496574,5052107,4406230,178576,4.99,50.75,9.83,188
6/28/20,10116803,499712,5141227,4475864,162611,4.94,50.82,9.72,188
6/29/20,10273032,503435,5235793,4533804,156229,4.9,50.97,9.62,188
6/3/20,6520126,387745,2875332,3257049,0,5.95,44.1,13.49,188
6/30/20,10447289,508361,5353115,4585813,3927163,4.87,51.24,9.5,188
6/4/20,6647409,392879,2945385,3309145,0,5.91,44.31,13.34,188
6/5/20,6778310,397453,3014544,3366313,130901,5.86,44.47,13.18,188
6/6/20,6913202,401265,3086748,3425189,134892,5.8,44.65,13.0,188
6/7/20,7025172,404006,3141849,3479317,111970,5.75,44.72,12.86,188
6/8/20,7127703,407707,3293412,3426584,102531,5.72,46.21,12.38,188
6/9/20,7252461,412562,3375694,3464205,124758,5.69,46.55,12.22,188
7/1/20,10664533,513291,5469041,4682201,3412072,4.81,51.28,9.39,188
